MAKH,SDT,HOTEN,NGAYSINH,GIOITINH,DIACHI,DIEMTICHLUY
KH0693,0850993838,Khach Hang 693,2000-01-03,Nu,Can Tho,4796
KH0694,0844518407,Khach Hang 694,1984-12-31,Nam,Da Nang,3568
KH0695,0913758104,Khach Hang 695,1978-05-03,Nu,Dong Nai,2967
KH0696,0846090217,Khach Hang 696,1999-04-30,Nam,Khanh Hoa,2409
KH0697,0934387986,Khach Hang 697,1999-04-27,Nu,Ho Chi Minh,2295
KH0698,0742644864,Khach Hang 698,1983-11-03,Nam,Can Tho,448
KH0699,0998950723,Khach Hang 699,1999-05-12,Nu,Da Nang,4007
KH0700,0329272648,Khach Hang 700,2002-11-19,Nam,Dong Nai,1207
KH0701,0364361767,Khach Hang 701,1976-11-28,Nu,Dong Nai,2897
KH0702,0989382564,Khach Hang 702,1991-10-11,Nam,Can Tho,2229
KH0703,0796442165,Khach Hang 703,2002-06-14,Nu,Can Tho,3472
KH0704,0885051724,Khach Hang 704,1991-11-26,Nam,Can Tho,3697
KH0705,0365856474,Khach Hang 705,1995-03-21,Nu,Dong Nai,4580
KH0706,0836380305,Khach Hang 706,2006-12-15,Nam,Khanh Hoa,4117
KH0707,0860393730,Khach Hang 707,1989-08-04,Nu,Hai Phong,22
KH0708,0854887461,Khach Hang 708,1995-09-07,Nam,Da Nang,3370
KH0709,0882189906,Khach Hang 709,2003-04-18,Nu,Ha Noi,2174
KH0710,0968656826,Khach Hang 710,1976-04-04,Nam,Da Nang,2805
KH0711,0965808630,Khach Hang 711,2006-06-05,Nu,Binh Duong,5
KH0712,0869172721,Khach Hang 712,1985-08-10,Nam,Da Nang,783
KH0713,0310847113,Khach Hang 713,1985-12-10,Nu,Can Tho,2972
KH0714,0953324868,Khach Hang 714,1995-09-23,Nam,Ha Noi,4896
KH0715,0737136603,Khach Hang 715,1990-11-05,Nu,Ho Chi Minh,1193
KH0716,0334874834,Khach Hang 716,1994-07-27,Nam,Ho Chi Minh,1610
KH0717,0380658222,Khach Hang 717,1996-09-22,Nu,Can Tho,109
KH0718,0362942575,Khach Hang 718,2000-06-01,Nam,Can Tho,166
KH0719,0336714333,Khach Hang 719,1980-07-08,Nu,Ho Chi Minh,174
KH0720,0361263872,Khach Hang 720,1986-03-04,Nam,Can Tho,4564
KH0721,0870602418,Khach Hang 721,1983-08-27,Nu,Dong Nai,101
KH0722,0798523414,Khach Hang 722,1978-12-14,Nam,Ho Chi Minh,2564
KH0723,0861630684,Khach Hang 723,1998-04-17,Nu,Hai Phong,1549
KH0724,0811168296,Khach Hang 724,1974-03-14,Nam,Dong Nai,118
KH0725,0739881551,Khach Hang 725,1990-10-02,Nu,Hai Phong,809
KH0726,0320562554,Khach Hang 726,1971-12-26,Nam,Can Tho,1861
KH0727,0718379693,Khach Hang 727,1978-01-30,Nu,Dong Nai,3965
KH0728,0859754300,Khach Hang 728,1991-05-12,Nam,Can Tho,2333
KH0729,0720071045,Khach Hang 729,1995-02-05,Nu,Ha Noi,4415
KH0730,0874202944,Khach Hang 730,2003-12-14,Nam,Can Tho,1450
KH0731,0927759806,Khach Hang 731,1993-09-30,Nu,Can Tho,3571
KH0732,0363509311,Khach Hang 732,1994-07-08,Nam,Ha Noi,1007
KH0733,0831396315,Khach Hang 733,1976-09-23,Nu,Can Tho,4436
KH0734,0327651662,Khach Hang 734,1989-06-14,Nam,Ha Noi,4521
KH0735,0958819847,Khach Hang 735,2003-07-14,Nu,Khanh Hoa,894
KH0736,0890332924,Khach Hang 736,1970-11-21,Nam,Ha Noi,2674
KH0737,0364782488,Khach Hang 737,1983-06-18,Nu,Can Tho,635
KH0738,0957139761,Khach Hang 738,1970-04-09,Nam,Dong Nai,2365
KH0739,0322291918,Khach Hang 739,1980-01-29,Nu,Ho Chi Minh,4114
KH0740,0799264107,Khach Hang 740,1982-02-14,Nam,Binh Duong,3494
KH0741,0380597769,Khach Hang 741,1984-06-15,Nu,Can Tho,1662
KH0742,0360718414,Khach Hang 742,1974-04-12,Nam,Khanh Hoa,4279
KH0743,0346922308,Khach Hang 743,1975-07-13,Nu,Dong Nai,2520
KH0744,0790373563,Khach Hang 744,2001-01-06,Nam,Can Tho,1336
KH0745,0827308269,Khach Hang 745,1985-04-02,Nu,Can Tho,2538
KH0746,0877488905,Khach Hang 746,2004-04-05,Nam,Ho Chi Minh,2279
KH0747,0867606238,Khach Hang 747,1986-03-12,Nu,Dong Nai,2435
KH0748,0897819158,Khach Hang 748,1975-02-23,Nam,Binh Duong,2247
KH0749,0341245908,Khach Hang 749,1984-01-30,Nu,Ha Noi,3312
KH0750,0920491071,Khach Hang 750,2003-06-06,Nam,Ho Chi Minh,4121
KH0751,0382901976,Khach Hang 751,1988-03-28,Nu,Dong Nai,3213
KH0752,0395968845,Khach Hang 752,1992-03-07,Nam,Ho Chi Minh,4417
KH0753,0326958627,Khach Hang 753,2002-05-12,Nu,Hai Phong,4516
KH0754,0986908595,Khach Hang 754,1995-01-26,Nam,Ho Chi Minh,1853
KH0755,0389550178,Khach Hang 755,1982-10-19,Nu,Ha Noi,401
KH0756,0780770068,Khach Hang 756,1997-12-10,Nam,Dong Nai,244
KH0757,0778879261,Khach Hang 757,1979-09-03,Nu,Binh Duong,4083
KH0758,0777344655,Khach Hang 758,1992-02-14,Nam,Khanh Hoa,1832
KH0759,0751528963,Khach Hang 759,1987-10-05,Nu,Hai Phong,188
KH0760,0346791877,Khach Hang 760,1985-07-29,Nam,Dong Nai,4090
KH0761,0950731019,Khach Hang 761,1987-12-22,Nu,Hai Phong,1201
KH0762,0814976566,Khach Hang 762,1982-12-09,Nam,Dong Nai,2211
KH0763,0939702359,Khach Hang 763,1987-12-10,Nu,Ho Chi Minh,963
KH0764,0362263686,Khach Hang 764,2003-02-13,Nam,Ho Chi Minh,1589
KH0765,0745455928,Khach Hang 765,1977-06-05,Nu,Khanh Hoa,4500
KH0766,0936222105,Khach Hang 766,1972-06-15,Nam,Hai Phong,2195
KH0767,0376191412,Khach Hang 767,1988-01-08,Nu,Khanh Hoa,3325
KH0768,0783934823,Khach Hang 768,1990-07-19,Nam,Binh Duong,3781
KH0769,0729402665,Khach Hang 769,1993-12-23,Nu,Khanh Hoa,2618
KH0770,0848483459,Khach Hang 770,2000-09-08,Nam,Can Tho,4317
KH0771,0951688412,Khach Hang 771,1977-12-05,Nu,Da Nang,614
KH0772,0965328731,Khach Hang 772,1999-03-07,Nam,Khanh Hoa,4249
KH0773,0718836962,Khach Hang 773,1984-04-22,Nu,Binh Duong,4352
KH0774,0939309623,Khach Hang 774,1998-02-12,Nam,Binh Duong,3389
KH0775,0377830442,Khach Hang 775,1993-04-27,Nu,Dong Nai,470
KH0776,0791313023,Khach Hang 776,1997-10-05,Nam,Ha Noi,3552
KH0777,0776054993,Khach Hang 777,1975-06-24,Nu,Ha Noi,4680
KH0778,0328448490,Khach Hang 778,2003-01-19,Nam,Khanh Hoa,3552
KH0779,0776288287,Khach Hang 779,1999-09-29,Nu,Khanh Hoa,2933
KH0780,0714085532,Khach Hang 780,1980-07-07,Nam,Binh Duong,1203
KH0781,0399514625,Khach Hang 781,1972-09-30,Nu,Ha Noi,4604
KH0782,0374550446,Khach Hang 782,1985-10-06,Nam,Ho Chi Minh,3237
KH0783,0786989343,Khach Hang 783,2004-12-20,Nu,Hai Phong,1810
KH0784,0750238090,Khach Hang 784,2000-03-24,Nam,Da Nang,2768
KH0785,0731784570,Khach Hang 785,1983-03-19,Nu,Ha Noi,3365
KH0786,0798976152,Khach Hang 786,1999-07-18,Nam,Ha Noi,3535
KH0787,0311318200,Khach Hang 787,2006-03-26,Nu,Dong Nai,3522
KH0788,0868126617,Khach Hang 788,1995-08-25,Nam,Hai Phong,2994
KH0789,0770746057,Khach Hang 789,2000-04-14,Nu,Ho Chi Minh,2424
KH0790,0330958500,Khach Hang 790,2004-11-03,Nam,Ha Noi,1287
KH0791,0961234250,Khach Hang 791,1982-07-18,Nu,Can Tho,656
KH0792,0948787844,Khach Hang 792,1975-06-25,Nam,Ha Noi,2522
KH0793,0976900821,Khach Hang 793,1978-09-12,Nu,Dong Nai,3220
KH0794,0358136536,Khach Hang 794,1998-06-12,Nam,Ha Noi,677
KH0795,0936640628,Khach Hang 795,1994-06-06,Nu,Binh Duong,805
KH0796,0738413665,Khach Hang 796,1983-03-15,Nam,Dong Nai,2302
KH0797,0757702788,Khach Hang 797,1974-05-09,Nu,Ha Noi,700
KH0798,0952484236,Khach Hang 798,1986-06-20,Nam,Ho Chi Minh,1714
KH0799,0335614179,Khach Hang 799,1972-02-14,Nu,Binh Duong,1335
KH0800,0371489848,Khach Hang 800,1976-06-21,Nam,Khanh Hoa,1788
KH0801,0820010540,Khach Hang 801,1999-11-10,Nu,Ho Chi Minh,1289
KH0802,0994734157,Khach Hang 802,1984-01-02,Nam,Ho Chi Minh,111
KH0803,0992684732,Khach Hang 803,1970-11-08,Nu,Dong Nai,3488
KH0804,0990773394,Khach Hang 804,1971-07-20,Nam,Da Nang,3807
KH0805,0865314871,Khach Hang 805,1975-12-20,Nu,Can Tho,741
KH0806,0982240012,Khach Hang 806,1983-10-29,Nam,Da Nang,4271
KH0807,0371236500,Khach Hang 807,1970-01-28,Nu,Hai Phong,2313
KH0808,0959700168,Khach Hang 808,1979-05-08,Nam,Can Tho,4804
KH0809,0758872684,Khach Hang 809,1990-01-20,Nu,Ha Noi,2139
KH0810,0757209566,Khach Hang 810,1979-04-15,Nam,Da Nang,1673
KH0811,0934448902,Khach Hang 811,1990-06-04,Nu,Dong Nai,1574
KH0812,0969300617,Khach Hang 812,1986-01-04,Nam,Binh Duong,1752
KH0813,0718334158,Khach Hang 813,1974-03-09,Nu,Dong Nai,2430
KH0814,0774040117,Khach Hang 814,1988-07-31,Nam,Da Nang,664
KH0815,0339667639,Khach Hang 815,1978-02-14,Nu,Ha Noi,395
KH0816,0910487402,Khach Hang 816,1979-11-28,Nam,Ha Noi,4363
KH0817,0944269290,Khach Hang 817,1977-08-16,Nu,Khanh Hoa,4500
KH0818,0978932414,Khach Hang 818,1973-07-18,Nam,Da Nang,2864
KH0819,0889988216,Khach Hang 819,1970-09-09,Nu,Dong Nai,2174
KH0820,0923322835,Khach Hang 820,2003-07-08,Nam,Ha Noi,1179
KH0821,0781052011,Khach Hang 821,1990-07-11,Nu,Da Nang,1817
KH0822,0769372492,Khach Hang 822,1993-03-05,Nam,Da Nang,636
KH0823,0996343135,Khach Hang 823,2002-03-07,Nu,Ho Chi Minh,4722
KH0824,0874233263,Khach Hang 824,1988-03-18,Nam,Can Tho,4450
KH0825,0929486119,Khach Hang 825,2000-04-06,Nu,Ha Noi,3596
KH0826,0319952434,Khach Hang 826,2002-09-28,Nam,Khanh Hoa,3728
KH0827,0371445523,Khach Hang 827,1971-04-16,Nu,Da Nang,1858
KH0828,0371488165,Khach Hang 828,2004-08-25,Nam,Khanh Hoa,1060
KH0829,0765611289,Khach Hang 829,1987-09-24,Nu,Hai Phong,1242
KH0830,0873574256,Khach Hang 830,1985-07-10,Nam,Khanh Hoa,2783
KH0831,0813249641,Khach Hang 831,2001-12-14,Nu,Hai Phong,3540
KH0832,0365232101,Khach Hang 832,1980-07-05,Nam,Hai Phong,1024
KH0833,0367831280,Khach Hang 833,1991-11-02,Nu,Ho Chi Minh,2589
KH0834,0864462687,Khach Hang 834,1975-11-30,Nam,Ho Chi Minh,2966
KH0835,0789959253,Khach Hang 835,2006-04-08,Nu,Dong Nai,3990
KH0836,0926186808,Khach Hang 836,1980-05-15,Nam,Khanh Hoa,229
KH0837,0930371141,Khach Hang 837,2000-09-16,Nu,Khanh Hoa,2997
KH0838,0839833816,Khach Hang 838,1985-09-11,Nam,Can Tho,481
KH0839,0978050317,Khach Hang 839,1994-12-12,Nu,Ha Noi,3646
KH0840,0880644030,Khach Hang 840,1997-06-05,Nam,Dong Nai,2021
KH0841,0854457193,Khach Hang 841,1975-09-17,Nu,Dong Nai,1636
KH0842,0848056775,Khach Hang 842,2001-04-29,Nam,Dong Nai,985
KH0843,0395772814,Khach Hang 843,1970-04-22,Nu,Hai Phong,3534
KH0844,0753954782,Khach Hang 844,2004-08-16,Nam,Khanh Hoa,2156
KH0845,0853594558,Khach Hang 845,1972-12-08,Nu,Hai Phong,3404
KH0846,0961429421,Khach Hang 846,1971-12-31,Nam,Can Tho,1394
KH0847,0971372124,Khach Hang 847,2006-01-15,Nu,Ho Chi Minh,4392
KH0848,0783055309,Khach Hang 848,1987-03-25,Nam,Dong Nai,1837
KH0849,0916802650,Khach Hang 849,1995-12-07,Nu,Ho Chi Minh,3300
KH0850,0368361967,Khach Hang 850,1993-01-26,Nam,Khanh Hoa,4988
KH0851,0759084103,Khach Hang 851,2000-04-15,Nu,Dong Nai,2509
KH0852,0916046587,Khach Hang 852,1975-08-30,Nam,Khanh Hoa,4486
KH0853,0858439956,Khach Hang 853,1976-11-10,Nu,Binh Duong,3006
KH0854,0753669252,Khach Hang 854,1970-06-29,Nam,Ha Noi,4277
KH0855,0949982094,Khach Hang 855,1977-12-19,Nu,Khanh Hoa,637
KH0856,0392979650,Khach Hang 856,1987-10-28,Nam,Khanh Hoa,655
KH0857,0349547394,Khach Hang 857,2005-04-09,Nu,Ha Noi,2869
KH0858,0356019442,Khach Hang 858,1982-03-15,Nam,Can Tho,2499
KH0859,0317443668,Khach Hang 859,2004-12-11,Nu,Da Nang,1808
KH0860,0943732533,Khach Hang 860,1975-10-29,Nam,Can Tho,3243
KH0861,0354766721,Khach Hang 861,1990-05-07,Nu,Binh Duong,4107
KH0862,0966707721,Khach Hang 862,1983-12-28,Nam,Hai Phong,2319
KH0863,0826203101,Khach Hang 863,1990-03-12,Nu,Ho Chi Minh,2521
KH0864,0895755914,Khach Hang 864,2000-02-02,Nam,Dong Nai,4280
KH0865,0313972296,Khach Hang 865,1976-02-26,Nu,Ho Chi Minh,1670
KH0866,0867019876,Khach Hang 866,1985-01-08,Nam,Da Nang,95
KH0867,0837814600,Khach Hang 867,1972-07-13,Nu,Dong Nai,207
KH0868,0331375988,Khach Hang 868,2005-04-07,Nam,Binh Duong,2787
KH0869,0912561861,Khach Hang 869,1986-08-21,Nu,Dong Nai,3764
KH0870,0385208992,Khach Hang 870,1984-04-24,Nam,Binh Duong,4620
KH0871,0893497705,Khach Hang 871,1983-07-14,Nu,Binh Duong,3296
KH0872,0937077292,Khach Hang 872,1991-10-30,Nam,Hai Phong,455
KH0873,0844921058,Khach Hang 873,1983-12-11,Nu,Dong Nai,351
KH0874,0347212048,Khach Hang 874,1975-10-23,Nam,Ha Noi,3682
KH0875,0816816454,Khach Hang 875,2004-08-13,Nu,Hai Phong,4937
KH0876,0722899128,Khach Hang 876,1985-11-10,Nam,Khanh Hoa,4106
KH0877,0746850913,Khach Hang 877,1982-10-12,Nu,Dong Nai,3229
KH0878,0367466055,Khach Hang 878,1991-07-28,Nam,Khanh Hoa,307
KH0879,0327213395,Khach Hang 879,1972-12-26,Nu,Binh Duong,6
KH0880,0866368566,Khach Hang 880,2006-11-20,Nam,Binh Duong,1601
KH0881,0959372200,Khach Hang 881,1982-10-24,Nu,Dong Nai,3691
KH0882,0938551258,Khach Hang 882,1970-11-29,Nam,Can Tho,2892
KH0883,0998636434,Khach Hang 883,1971-09-30,Nu,Can Tho,449
KH0884,0890405625,Khach Hang 884,1992-04-29,Nam,Ho Chi Minh,3112
KH0885,0941483866,Khach Hang 885,1981-09-20,Nu,Dong Nai,2274
KH0886,0754631321,Khach Hang 886,2005-07-07,Nam,Da Nang,4589
KH0887,0936928206,Khach Hang 887,1992-04-03,Nu,Khanh Hoa,764
KH0888,0983487160,Khach Hang 888,1999-12-18,Nam,Hai Phong,3131
KH0889,0394459149,Khach Hang 889,1972-08-11,Nu,Dong Nai,2732
KH0890,0941817158,Khach Hang 890,1996-01-08,Nam,Dong Nai,354
KH0891,0939611622,Khach Hang 891,2005-09-11,Nu,Ho Chi Minh,4941
KH0892,0714894986,Khach Hang 892,1998-01-25,Nam,Da Nang,3540
KH0893,0864706017,Khach Hang 893,1999-02-10,Nu,Ha Noi,3441
KH0894,0391521371,Khach Hang 894,1974-08-17,Nam,Ho Chi Minh,1892
KH0895,0994493418,Khach Hang 895,1984-12-08,Nu,Da Nang,1070
KH0896,0734573670,Khach Hang 896,1981-11-23,Nam,Hai Phong,3487
KH0897,0783347836,Khach Hang 897,2002-05-31,Nu,Ho Chi Minh,2088
KH0898,0884416211,Khach Hang 898,1980-01-08,Nam,Can Tho,1318
KH0899,0723221630,Khach Hang 899,1996-06-10,Nu,Hai Phong,1550
KH0900,0786824213,Khach Hang 900,2004-05-02,Nam,Hai Phong,1106
KH0901,0351143550,Khach Hang 901,2005-09-07,Nu,Khanh Hoa,2821
KH0902,0955964190,Khach Hang 902,1978-02-07,Nam,Khanh Hoa,4105
KH0903,0364874539,Khach Hang 903,2004-01-12,Nu,Dong Nai,1865
KH0904,0815971558,Khach Hang 904,1995-01-27,Nam,Hai Phong,2919
KH0905,0956801439,Khach Hang 905,1999-10-29,Nu,Ho Chi Minh,4124
KH0906,0394120688,Khach Hang 906,1990-08-13,Nam,Ho Chi Minh,574
KH0907,0734959246,Khach Hang 907,1991-12-11,Nu,Ha Noi,3290
KH0908,0955656831,Khach Hang 908,1973-05-31,Nam,Khanh Hoa,3603
KH0909,0940251539,Khach Hang 909,1971-09-04,Nu,Ha Noi,2460
KH0910,0922171621,Khach Hang 910,2000-05-24,Nam,Ho Chi Minh,1743
KH0911,0841265451,Khach Hang 911,1994-05-11,Nu,Binh Duong,3793
KH0912,0862685749,Khach Hang 912,1997-08-07,Nam,Ha Noi,4078
KH0913,0384332301,Khach Hang 913,1998-08-13,Nu,Can Tho,940
KH0914,0314577223,Khach Hang 914,1982-02-17,Nam,Dong Nai,1478
KH0915,0732763434,Khach Hang 915,1974-02-16,Nu,Binh Duong,3257
KH0916,0366800295,Khach Hang 916,2006-01-19,Nam,Ho Chi Minh,1480
KH0917,0996503080,Khach Hang 917,1974-03-21,Nu,Ha Noi,1208
KH0918,0816561593,Khach Hang 918,1985-12-20,Nam,Ha Noi,1225
KH0919,0825112527,Khach Hang 919,1980-02-09,Nu,Hai Phong,326
KH0920,0742018693,Khach Hang 920,1971-01-19,Nam,Can Tho,4685
KH0921,0999274757,Khach Hang 921,1999-08-24,Nu,Can Tho,4349
KH0922,0354673154,Khach Hang 922,1986-08-09,Nam,Khanh Hoa,4360
KH0923,0810011713,Khach Hang 923,2002-07-05,Nu,Binh Duong,3111
KH0924,0769698747,Khach Hang 924,1995-01-19,Nam,Dong Nai,3173
KH0925,0356363793,Khach Hang 925,1977-06-17,Nu,Can Tho,46
KH0926,0924151100,Khach Hang 926,1987-06-01,Nam,Khanh Hoa,4565
KH0927,0975968160,Khach Hang 927,1970-05-03,Nu,Hai Phong,386
KH0928,0380814881,Khach Hang 928,1988-07-27,Nam,Can Tho,2089
KH0929,0738921170,Khach Hang 929,2000-01-02,Nu,Ha Noi,1462
KH0930,0343538985,Khach Hang 930,1991-09-23,Nam,Ho Chi Minh,2587
KH0931,0355146676,Khach Hang 931,1978-10-02,Nu,Can Tho,3487
KH0932,0947238219,Khach Hang 932,2006-06-14,Nam,Hai Phong,487
KH0933,0992371995,Khach Hang 933,1995-11-10,Nu,Hai Phong,1989
KH0934,0715278025,Khach Hang 934,1985-07-18,Nam,Can Tho,567
KH0935,0724992571,Khach Hang 935,2006-04-25,Nu,Ho Chi Minh,4056
KH0936,0717022720,Khach Hang 936,1984-10-01,Nam,Ha Noi,1366
KH0937,0948426715,Khach Hang 937,1990-11-06,Nu,Binh Duong,3014
KH0938,0943054267,Khach Hang 938,2004-10-08,Nam,Can Tho,4476
KH0939,0384808015,Khach Hang 939,1973-06-21,Nu,Binh Duong,1626
KH0940,0390360548,Khach Hang 940,1990-02-18,Nam,Ho Chi Minh,3535
KH0941,0392955386,Khach Hang 941,2004-10-13,Nu,Dong Nai,791
KH0942,0895941916,Khach Hang 942,1996-07-26,Nam,Hai Phong,2627
KH0943,0758139306,Khach Hang 943,1996-07-03,Nu,Ha Noi,2089
KH0944,0728813388,Khach Hang 944,1995-09-20,Nam,Ho Chi Minh,4445
KH0945,0719641042,Khach Hang 945,2006-12-02,Nu,Ho Chi Minh,3677
KH0946,0938222388,Khach Hang 946,2003-11-27,Nam,Binh Duong,1798
KH0947,0943448299,Khach Hang 947,2000-04-15,Nu,Can Tho,2260
KH0948,0322437908,Khach Hang 948,2001-06-17,Nam,Hai Phong,901
KH0949,0740740032,Khach Hang 949,1979-02-27,Nu,Khanh Hoa,4421
KH0950,0732309424,Khach Hang 950,1984-02-22,Nam,Ha Noi,2250
KH0951,0792782668,Khach Hang 951,1977-03-21,Nu,Ha Noi,4360
KH0952,0729298828,Khach Hang 952,2003-11-08,Nam,Dong Nai,3652
KH0953,0771598042,Khach Hang 953,2000-12-13,Nu,Dong Nai,2008
KH0954,0839564010,Khach Hang 954,1974-01-23,Nam,Ho Chi Minh,1702
KH0955,0942418695,Khach Hang 955,1989-09-27,Nu,Can Tho,1148
KH0956,0390125878,Khach Hang 956,2003-01-19,Nam,Hai Phong,1652
KH0957,0381592745,Khach Hang 957,1975-09-17,Nu,Ho Chi Minh,254
KH0958,0943179166,Khach Hang 958,1989-12-07,Nam,Can Tho,1146
KH0959,0726113743,Khach Hang 959,1996-11-20,Nu,Ha Noi,211
KH0960,0772673567,Khach Hang 960,1976-05-22,Nam,Ho Chi Minh,2995
KH0961,0933130295,Khach Hang 961,1993-09-29,Nu,Khanh Hoa,1729
KH0962,0914432986,Khach Hang 962,2000-03-01,Nam,Hai Phong,210
KH0963,0811559867,Khach Hang 963,1978-11-08,Nu,Ho Chi Minh,4559
KH0964,0375909293,Khach Hang 964,1970-03-01,Nam,Dong Nai,1738
KH0965,0875067568,Khach Hang 965,2005-07-16,Nu,Ho Chi Minh,3805
KH0966,0837469075,Khach Hang 966,1999-04-21,Nam,Ho Chi Minh,2553
KH0967,0366790392,Khach Hang 967,1979-11-05,Nu,Hai Phong,810
KH0968,0883007686,Khach Hang 968,1970-03-10,Nam,Ho Chi Minh,2389
KH0969,0756509476,Khach Hang 969,1975-05-11,Nu,Khanh Hoa,4692
KH0970,0963223553,Khach Hang 970,1989-04-02,Nam,Ho Chi Minh,1120
KH0971,0917985706,Khach Hang 971,1995-01-15,Nu,Binh Duong,4929
KH0972,0719571599,Khach Hang 972,1979-07-09,Nam,Can Tho,3286
KH0973,0745275696,Khach Hang 973,1996-10-04,Nu,Hai Phong,2585
KH0974,0987450944,Khach Hang 974,1972-07-30,Nam,Da Nang,4593
KH0975,0845865252,Khach Hang 975,2006-08-02,Nu,Can Tho,4270
KH0976,0866553745,Khach Hang 976,1970-12-23,Nam,Ha Noi,4910
KH0977,0719305108,Khach Hang 977,1976-11-15,Nu,Ho Chi Minh,194
KH0978,0346494537,Khach Hang 978,2004-10-19,Nam,Ho Chi Minh,4383
KH0979,0384224534,Khach Hang 979,1989-01-16,Nu,Can Tho,945
KH0980,0383698173,Khach Hang 980,1987-06-16,Nam,Khanh Hoa,3702
KH0981,0834355812,Khach Hang 981,1994-12-21,Nu,Can Tho,4561
KH0982,0983100054,Khach Hang 982,1982-11-23,Nam,Da Nang,144
KH0983,0314089415,Khach Hang 983,1976-08-30,Nu,Khanh Hoa,2306
KH0984,0369304887,Khach Hang 984,1993-01-19,Nam,Binh Duong,1183
KH0985,0782902804,Khach Hang 985,1995-10-12,Nu,Binh Duong,1268
KH0986,0896171479,Khach Hang 986,1996-07-22,Nam,Binh Duong,300
KH0987,0350332325,Khach Hang 987,1995-07-09,Nu,Khanh Hoa,1419
KH0988,0964966020,Khach Hang 988,1975-03-27,Nam,Da Nang,186
KH0989,0861911581,Khach Hang 989,1989-02-22,Nu,Binh Duong,2186
KH0990,0357062009,Khach Hang 990,1987-01-14,Nam,Khanh Hoa,4110
KH0991,0772109017,Khach Hang 991,1990-08-12,Nu,Khanh Hoa,225
KH0992,0387244371,Khach Hang 992,1995-12-26,Nam,Ho Chi Minh,2261
KH0993,0952616103,Khach Hang 993,2001-10-11,Nu,Binh Duong,2207
KH0994,0367880901,Khach Hang 994,1987-06-05,Nam,Ho Chi Minh,795
KH0995,0971832022,Khach Hang 995,1975-10-30,Nu,Can Tho,4637
KH0996,0873242531,Khach Hang 996,1985-05-12,Nam,Ha Noi,1522
KH0997,0797436036,Khach Hang 997,1995-08-11,Nu,Ha Noi,1491
KH0998,0370207124,Khach Hang 998,2004-06-28,Nam,Binh Duong,984
KH0999,0874039549,Khach Hang 999,1983-02-04,Nu,Hai Phong,1007
KH1000,0986218010,Khach Hang 1000,1997-09-18,Nam,Da Nang,731
